Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJpos->VERcjg->PROrel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERppe->CONcoo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJqua->ADJcar->DETdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJqua->ADJind->NOMcom,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADJqua->ADJind->PONfrt,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJqua->ADJpos->NOMcom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADJqua->ADJqua->ADJqua,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ADJqua->ADJqua->ADVgen,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJqua->ADJqua->ADVneg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ADJqua->ADJqua->CONcoo,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
ADJqua->ADJqua->CONsub,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
ADJqua->ADJqua->CONsub.PROper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJqua->ADJqua->DETdef,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->NOMcom,11,11,7,11,0,11,3,11,6,11,13,11,0,11,4,11,2,11
ADJqua->ADJqua->NOMpro,1,2,0,2,0,2,0,2,3,2,0,2,0,2,0,2,0,2
ADJqua->ADJqua->PONfrt,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJqua->ADJqua->PRE,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0
ADJqua->ADJqua->PROdem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->PROper,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->PROrel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->PROrel.PROper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJqua->ADJqua->VERcjg,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
ADJqua->ADJqua->VERinf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->VERppe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ADJqua->ADVgen->ADJqua,0,3,0,3,0,3,0,3,4,3,0,3,0,3,0,3,0,3
ADJqua->ADVgen->ADVgen,4,2,3,2,0,2,0,2,2,2,3,2,0,2,4,2,0,2
