Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
Thebes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thedrades,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Theodorus,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Theoniste,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theoprobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Theralius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thomas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thotila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tibre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Toraine,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tours,0,22,0,5,0,8,0,0,0,1,0,0,0,0,0,0,0,0
Trani,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trieves,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulle,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Turc,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Ursum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Valentinien,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Valerie,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Vandale,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Vangione,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
